"Choice_Number","Information","Reward","Subject","Trial","Age"
1,0.863158483511716,0,"YA1",1,20
2,0.693147180559957,0,"YA1",1,20
3,0.693147180559945,0,"YA1",1,20
4,0.817368823982962,0,"YA1",1,20
5,0.693147180559947,0,"YA1",1,20
6,0.815955384143078,0,"YA1",1,20
7,0.693147180559945,0,"YA1",1,20
8,0.952709393850288,0,"YA1",1,20
1,0.863272710127452,1,"YA1",2,20
2,0.825759979873402,0,"YA1",2,20
3,0.693147180559889,0,"YA1",2,20
4,0.870445695056085,0,"YA1",2,20
5,0.713558177820074,0,"YA1",2,20
6,0.693147180559941,0,"YA1",2,20
7,0.693147180559947,0,"YA1",2,20
8,0.815955384143078,0,"YA1",2,20
9,0.693147180559945,0,"YA1",2,20
1,0.863089387262498,0,"YA1",3,20
2,0.879244167659124,1,"YA1",3,20
3,0.828216548764197,0.5,"YA1",3,20
4,0.820784812006301,0,"YA1",3,20
5,0.693147180559925,0,"YA1",3,20
6,0.780323874132304,0,"YA1",3,20
7,0.779054247925709,1,"YA1",3,20
8,0.735301300863076,0,"YA1",3,20
9,0.923072809450806,0,"YA1",3,20
10,0.702116030903283,0,"YA1",3,20
11,0.709520177045177,0,"YA1",3,20
12,0.693147180559946,0,"YA1",3,20
13,0.693147180559945,0,"YA1",3,20
14,0.693147180559945,0,"YA1",3,20
15,0.693147180559945,1,"YA1",3,20
1,0.863054865901992,0,"YA1",4,20
2,0.732360101571887,0.5,"YA1",4,20
3,0.83026109544555,0.5,"YA1",4,20
4,0.693143485927763,0,"YA1",4,20
5,0.693132509092172,0.5,"YA1",4,20
6,0.734631281958808,1,"YA1",4,20
7,0.692724447705757,0,"YA1",4,20
8,0.734095947974182,1,"YA1",4,20
9,0.683955169880114,1,"YA1",4,20
1,0.746987956630035,0.5,"YA1",5,20
2,0.826686485685639,0,"YA1",5,20
3,0.94893768493875,1,"YA1",5,20
4,1.29289969723819,0,"YA1",5,20
5,1.01253389223243,1,"YA1",5,20
6,0.814019841907844,0,"YA1",5,20
7,0.832931746224969,1,"YA1",5,20
8,0.693129794774713,0.333333333333333,"YA1",5,20
9,0.693078724588092,0.333333333333333,"YA1",5,20
